,text,date,label,label_name,id,toxicity_label,toxicity_score
0,{{USERNAME}} Fair enough! Honestly I can not imagine it being any longer like holy shit,2024-04-26,2,bible,1783677542588727555,1 star,0.30834507942199707
1,{{USERNAME}} {{USERNAME}} I hear ya. I wasn’t raised in a religious family. My parents taught me strong morals and values.  I went to Catholic school for half the year. Aside from that I only started reading the Bible in bits and pieces since last summer. 	The 7 churches no longer physically exist in… {{URL}},2024-04-26,2,bible,1783677542005649587,1 star,0.4127926826477051
2,"{{USERNAME}} GUH GUH GUH. I don't realize how down bad until pictures like this come up. Holy shit, lovely artwork.",2024-04-26,2,bible,1783677529565343921,5 stars,0.4717867374420166
3,{{USERNAME}} Holy reach #BUST,2024-04-26,2,bible,1783677527355174915,1 star,0.6894605159759521
4,{{USERNAME}} I was out to dinner tonight and just catching up on some of these highlights… are ALL of these Jo clips from tonight alone? How tf is he allowed to do this? Holy smokes,2024-04-26,2,bible,1783677526901932435,1 star,0.34845438599586487
5,"{{USERNAME}} You are right we are righteous because We are saved by Jesus’ death on the cross and covered by His blood, but the Holy Spirit inside of us helps us to cleanse ourself of sin. To do that we have to look to law now if we fail we try again we don’t lose salvation.",2024-04-26,2,bible,1783677526717366704,5 stars,0.5421143174171448
6,{{USERNAME}} Holy shit,2024-04-26,2,bible,1783677526537064910,1 star,0.5416353344917297
7,Holy fuckin fleece {{URL}},2024-04-26,2,bible,1783677526335705472,1 star,0.5537107586860657
8,{{USERNAME}} {{USERNAME}} 500 million guns keeps the brown streaks in their whity tightys. 		The gorilla warfare in our country would be biblical and the end to any nation that dared try.,2024-04-26,2,bible,1783677521860395490,5 stars,0.3010537624359131
9,"{{USERNAME}} Holy shit, I thought I was the only person feeling the input lag on the demo",2024-04-26,2,bible,1783677516923961754,1 star,0.7152796387672424
10,{{USERNAME}} Holy based taste!😭 This is the manliest shit I’ve ever seen! {{URL}},2024-04-26,2,bible,1783677516093268394,1 star,0.45556172728538513
11,{{USERNAME}} {{USERNAME}} ❧Morning Bible❧	A wonderful day has begun. 	Spend it happily and live with a smile. I wish you a good mood.	#อรุณสวัสดิ์คุณวิชญ์ภาส 	{{USERNAME}}	#BibleWichapas	#bsumone,2024-04-26,2,bible,1783677511567540434,5 stars,0.6439682841300964
12,"{{USERNAME}} but Matt, the sweater is holy! it says so right there in the description!",2024-04-26,2,bible,1783677511064510522,3 stars,0.26690083742141724
13,"{{USERNAME}} Holy Fuck the libs found this one hurtful, my god we’ve gone soft",2024-04-26,2,bible,1783677505875886191,1 star,0.8692500591278076
14,"{{USERNAME}} My local deli has a sandwich called the Mexican Fiesta:	Grilled chicken, onion, bell peppers, jalapenos, avocado, pepper jack cheese, lettuce, &amp; tomato.		Its so good that when i get off the train coming home from the bars at 5am my subconscious knows to take me there &amp; order it🤤",2024-04-26,2,bible,1783677502826713146,5 stars,0.454352468252182
15,{{USERNAME}} Holy shit Rosa 😂😂😂😂 {{URL}},2024-04-26,2,bible,1783677498305229165,1 star,0.3869921863079071
16,{{USERNAME}} Holy shit mate. Did you make sure you give yourself a good shower afterwards? (Kudos and well done),2024-04-26,2,bible,1783677496619323606,5 stars,0.4539848268032074
17,HOLY SHIT YOU PEOPLE WERENT LYING VOLO REALLY DOES WHIMPER,2024-04-26,2,bible,1783677492408308168,1 star,0.4719158411026001
18,{{USERNAME}} Holy fuck you’re high 😂😂😂,2024-04-26,2,bible,1783677489157456099,5 stars,0.5414519309997559
19,"{{USERNAME}} {{USERNAME}} What about the Holy Spirit. Did the Holy Spirit have any role in leading you to Christ?  If not, something doesn’t seem right.",2024-04-26,2,bible,1783677486577942545,1 star,0.2933111786842346
20,"{{USERNAME}} Aapni email korte paaren. Mobile number aagei diye di chhi. Jekhane ichchha, wokhaney path. Aar kono upaay nain. Absolutely Not. My solutions will not work for you, because I'm a Bible-believer.",2024-04-26,2,bible,1783677481712812078,1 star,0.8173967599868774
21,THEYRE HOW MUCH HOLY FUCK,2024-04-26,2,bible,1783677479158218822,1 star,0.48178771138191223
22,{{USERNAME}} {{USERNAME}} ❧Morning Bible❧	A wonderful day has begun. 	Spend it happily and live with a smile. I wish you a good mood.	#อรุณสวัสดิ์คุณวิชญ์ภาส 	{{USERNAME}}	#BibleWichapas	#bsumone,2024-04-26,2,bible,1783677476474126336,5 stars,0.6439682841300964
23,HOLY. FUCK. {{URL}},2024-04-26,2,bible,1783677473487474901,1 star,0.5739902257919312
24,holy fucking shit bruh like i knew this happened but this is SOOOOO CRAZYYYY {{URL}},2024-04-26,2,bible,1783677470987723197,1 star,0.8122369050979614
25,holy ass {{URL}},2024-04-26,2,bible,1783677468047544661,5 stars,0.5617630481719971
26,Holy shit my bday is next week,2024-04-26,2,bible,1783677466579542026,1 star,0.6884432435035706
27,"{{USERNAME}} The Number of the Man is 666,  Barrack H. Obama, ""My Muslim Religion"" The holy Koran of 666 verses.",2024-04-26,2,bible,1783677464406859897,1 star,0.5942227244377136
28,HOLY SHIT {{URL}},2024-04-26,2,bible,1783677452394561989,5 stars,0.3674025237560272
29,"{{USERNAME}} {{USERNAME}} Holy shit, you guys. {{URL}}",2024-04-26,2,bible,1783677448866955341,1 star,0.6220501661300659
30,Does your Bible Study group meet on Wednesday nights? Why not watch the livestream of our next event together? See our website for further details:		{{URL}} {{URL}},2024-04-26,2,bible,1783677437986865281,4 stars,0.24831151962280273
31,"Forget embiid comeback game for a sec, hOLY SHIIIIITTTTTT MAGIC {{URL}}",2024-04-26,2,bible,1783677436028502281,5 stars,0.3464210033416748
32,Writing a lore bible for the setting in my last two stories (Ground Zero club) because {{USERNAME}} mentioned wanting to do something within that universe 🥹 an honor,2024-04-26,2,bible,1783677429719941303,4 stars,0.4647672474384308
33,holy shit i legit looks like this rn i feel awful i need more mg of ssri {{URL}},2024-04-26,2,bible,1783677426784236001,1 star,0.896520733833313
34,Me jokingly theory crafting: I wonder if Groose is related to the Gerudo. Nah it’s just red hair. I wonder if the Gerudo were even in SS.	-Searches-	Holy… {{URL}},2024-04-26,2,bible,1783677423763992628,2 stars,0.30982890725135803
35,{{USERNAME}} This,2024-04-26,2,bible,1783677422337929351,5 stars,0.3911368250846863
36,Sinking Peaks - Holy Drone {{URL}},2024-04-26,2,bible,1783677421717184826,1 star,0.4651135802268982
37,First time actually playing sonic 4		Holy shit this is awful you guys aren’t kidding {{URL}} {{URL}},2024-04-26,2,bible,1783677420966441250,1 star,0.9348598718643188
