text,date,label,label_name,id
{{USERNAME}} I hope he loves you back but him kissing the wall in Jerusalem is vowing to uphold Israel &amp; genocide. {{URL}},2024-04-26,5,Jerusalem,1783694410925920368
"""Before God takes us to the promised land He takes us to the wilderness to transform us."" Andrew Smith #efcawest #kinetic2024",2024-04-26,5,Jerusalem,1783694389682045389
"{{USERNAME}} {{USERNAME}} Oh, us Europeans know the face of the terrorism currently invading and ruining our countries.",2024-04-26,5,Jerusalem,1783694333859725653
"I just entered to win the Canik TTI Combat, Ermox M4 Shotgun &amp; IWI Zion-15 SPR Rifle from {{USERNAME}}! Valued At $4,000! {{USERNAME}} #CanikTTI #CanikTTICombat #TTICombat {{USERNAME}} {{USERNAME}} #Ermox  #gungiveaway #winagun #dreampistol Enter Here - {{URL}}",2024-04-26,5,Jerusalem,1783694277630992398
{{USERNAME}} {{USERNAME}} BRAD HOLMES TAKE US TO THE PROMISED LAND.,2024-04-26,5,Jerusalem,1783694226812752029
"I just entered to win the Canik TTI Combat, Ermox M4 Shotgun &amp; IWI Zion-15 SPR Rifle from {{USERNAME}}! Valued At $4,000! {{USERNAME}} #CanikTTI #CanikTTICombat #TTICombat {{USERNAME}} {{USERNAME}} #Ermox  #gungiveaway #winagun #dreampistol Enter Here - {{URL}}",2024-04-26,5,Jerusalem,1783694215857205535
"{{USERNAME}} {{USERNAME}} just to make it clear, this is from a Jerusalem Post article		{{URL}}		{{URL}}		Someone needs to tell the students and their professors",2024-04-26,5,Jerusalem,1783694165727121786
{{USERNAME}} {{USERNAME}} {{USERNAME}} {{USERNAME}} The UN resolution in '47 set Jerusalem and Bethlehem (possibly Hebron as well) as international zones because they were mixed populations at the time and held religious significance to both Jews and Arabs. You can't have a 2-state solution with a non-democratic state.,2024-04-26,5,Jerusalem,1783694162044354585
"are displayed in Jerusalem, saying:",2024-04-26,5,Jerusalem,1783694136631255081
{{USERNAME}} {{USERNAME}} {{USERNAME}} this is not a party thing. Who you going to vote for? Trump hahaha he waws the one that opened the door and encouraged Israel when moved the US embassy to jerusalem he is also the one using the braindead evangelicals who want this to happen. This is america BOTH parties!!,2024-04-26,5,Jerusalem,1783694115433304497
{{USERNAME}} Israel is actively trying to remove Christian presence from Jerusalem and also bombed one of the oldest churches in the middle east. How can you still support this as a christian?,2024-04-26,5,Jerusalem,1783694097678565570
{{USERNAME}} 𝐅𝐨𝐫𝐦𝐚𝐭 !!      		𝐋𝐚𝐬𝐭 𝐮𝐬𝐞𝐫𝐧𝐚𝐦𝐞 : mmaxkornthas	𝐍𝐞𝐰 𝐮𝐬𝐞𝐫𝐧𝐚𝐦𝐞 : kengjingnah	𝐍𝐞𝐰 𝐟𝐮𝐥𝐥 𝐅𝐂 𝐧𝐚𝐦𝐞 : Harit Buayoi	𝐎𝐂 𝐍𝐚𝐦𝐞 : Zion Capringo	𝐃𝐎𝐁 : 19 August 1999		*𝐃𝐫𝐨𝐩 𝐲𝐨𝐮𝐫 𝐩𝐢𝐜𝐭 𝐡𝐚𝐥𝐟 𝐛𝐨𝐝𝐲 &amp; 𝐟𝐚𝐯 𝐧𝐮𝐦𝐛𝐞𝐫* : 15 {{URL}},2024-04-26,5,Jerusalem,1783694096638566508
{{USERNAME}} {{USERNAME}} Same ideology Zion and Nazis. Breaking for some reason does not change the core. Mufti maybe just tried alliance because Britain betrayed Palestinians. Take a minute... {{URL}},2024-04-26,5,Jerusalem,1783694092402032810
"{{USERNAME}} Zinoism is hate , ie Zionist jewish group called Hill Top  youth terrorists  group, the Satanyaho  Government empowered Secret Group Called "" Price Tag "", Israel  Most popular Soccer Team  Fan"" Jerusalem Bitar"" La Familia Fans  Chants  Death to Arabs , in stadiums during matches",2024-04-26,5,Jerusalem,1783694001029443927
{{USERNAME}} I think you found the holy land,2024-04-26,5,Jerusalem,1783693947006513355
